# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
7.064170e+12 6.319010e+12 7.092760e+12 1.518648e+00 5.361056e-02
7.539856e+12 7.092760e+12 8.019170e+12 1.545526e+00 1.658410e-02
8.552995e+12 8.019170e+12 9.136670e+12 1.598045e+00 1.717297e-02
9.782389e+12 9.136670e+12 1.049540e+13 1.640863e+00 1.809829e-02
1.128670e+13 1.049540e+13 1.216160e+13 1.700372e+00 1.872176e-02
1.314311e+13 1.216160e+13 1.422320e+13 1.774342e+00 2.019471e-02
1.542419e+13 1.422320e+13 1.679850e+13 1.852687e+00 2.093089e-02
1.832122e+13 1.679850e+13 2.004830e+13 1.926103e+00 2.266699e-02
2.199521e+13 2.004830e+13 2.419370e+13 2.034929e+00 2.473387e-02
2.667618e+13 2.419370e+13 2.954260e+13 2.162588e+00 2.687162e-02
3.274321e+13 2.954260e+13 3.652900e+13 2.307783e+00 2.985206e-02
4.076503e+13 3.652900e+13 4.577310e+13 2.463966e+00 3.331763e-02
5.141885e+13 4.577310e+13 5.817410e+13 2.655619e+00 3.974562e-02
6.576637e+13 5.817410e+13 7.505530e+13 2.909085e+00 4.769606e-02
8.525477e+13 7.505530e+13 9.839550e+13 3.179060e+00 5.735346e-02
1.125141e+14 9.839550e+13 1.312040e+14 3.488581e+00 7.338157e-02
1.511873e+14 1.312040e+14 1.781390e+14 3.948390e+00 9.732645e-02
2.064659e+14 1.781390e+14 2.465490e+14 4.389999e+00 1.395703e-01
2.869592e+14 2.465490e+14 3.482600e+14 4.942106e+00 2.170671e-01
4.704096e+14 3.482600e+14 inf 6.127487e+00 3.080952e-01
