# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
7.116139e+12 6.428310e+12 7.222060e+12 1.257871e+00 2.819498e-02
7.662721e+12 7.222060e+12 8.166780e+12 1.253082e+00 1.371687e-02
8.694823e+12 8.166780e+12 9.298720e+12 1.298972e+00 1.451189e-02
9.939509e+12 9.298720e+12 1.066460e+13 1.338121e+00 1.473514e-02
1.144691e+13 1.066460e+13 1.232520e+13 1.374388e+00 1.571836e-02
1.328612e+13 1.232520e+13 1.436000e+13 1.420164e+00 1.627326e-02
1.554316e+13 1.436000e+13 1.687410e+13 1.485607e+00 1.718237e-02
1.833857e+13 1.687410e+13 2.000800e+13 1.544910e+00 1.817907e-02
2.185065e+13 2.000800e+13 2.395080e+13 1.607534e+00 1.968003e-02
2.628447e+13 2.395080e+13 2.896020e+13 1.692064e+00 2.094004e-02
3.192803e+13 2.896020e+13 3.539090e+13 1.801024e+00 2.284079e-02
3.926267e+13 3.539090e+13 4.373690e+13 1.907102e+00 2.503370e-02
4.880130e+13 4.373690e+13 5.469430e+13 2.035496e+00 2.804483e-02
6.136871e+13 5.469430e+13 6.925650e+13 2.188852e+00 3.182481e-02
7.809971e+13 6.925650e+13 8.886040e+13 2.385969e+00 3.720076e-02
1.008066e+14 8.886040e+13 1.156120e+14 2.562222e+00 4.448029e-02
1.319289e+14 1.156120e+14 1.526460e+14 2.853013e+00 5.421777e-02
1.755052e+14 1.526460e+14 2.046960e+14 3.160459e+00 6.814177e-02
2.363131e+14 2.046960e+14 2.790330e+14 3.613282e+00 9.126740e-02
3.239474e+14 2.790330e+14 3.870060e+14 3.964893e+00 1.290684e-01
4.514952e+14 3.870060e+14 5.466600e+14 4.462994e+00 1.934238e-01
7.267097e+14 5.466600e+14 inf 5.519991e+00 2.984777e-01
