# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
7.116816e+12 6.418900e+12 7.210480e+12 1.117268e+00 2.601453e-02
7.662497e+12 7.210480e+12 8.149940e+12 1.135506e+00 1.275199e-02
8.697659e+12 8.149940e+12 9.272030e+12 1.166286e+00 1.361537e-02
9.926622e+12 9.272030e+12 1.062130e+13 1.203135e+00 1.377588e-02
1.139724e+13 1.062130e+13 1.225510e+13 1.229431e+00 1.432725e-02
1.319723e+13 1.225510e+13 1.424830e+13 1.271443e+00 1.498238e-02
1.540408e+13 1.424830e+13 1.669900e+13 1.326620e+00 1.565235e-02
1.813327e+13 1.669900e+13 1.973720e+13 1.373474e+00 1.656500e-02
2.152534e+13 1.973720e+13 2.353670e+13 1.434944e+00 1.744048e-02
2.577764e+13 2.353670e+13 2.833160e+13 1.501717e+00 1.896889e-02
3.118904e+13 2.833160e+13 3.444140e+13 1.593281e+00 2.067633e-02
3.807773e+13 3.444140e+13 4.230620e+13 1.672597e+00 2.235069e-02
4.702738e+13 4.230620e+13 5.253870e+13 1.781992e+00 2.435026e-02
5.871013e+13 5.253870e+13 6.600240e+13 1.906321e+00 2.673026e-02
7.417772e+13 6.600240e+13 8.392900e+13 2.047886e+00 3.169869e-02
9.495615e+13 8.392900e+13 1.080980e+14 2.234322e+00 3.647774e-02
1.228370e+14 1.080980e+14 1.411130e+14 2.430036e+00 4.255225e-02
1.613674e+14 1.411130e+14 1.868430e+14 2.669836e+00 5.233765e-02
2.152970e+14 1.868430e+14 2.511160e+14 3.000062e+00 6.704076e-02
2.903728e+14 2.511160e+14 3.428480e+14 3.399017e+00 8.956947e-02
3.986298e+14 3.428480e+14 4.759090e+14 3.704709e+00 1.197904e-01
5.523953e+14 4.759090e+14 6.722400e+14 4.242778e+00 1.835906e-01
9.047748e+14 6.722400e+14 inf 5.182331e+00 2.703119e-01
