# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
7.046900e+12 6.309760e+12 7.081850e+12 1.715558e+00 8.718546e-02
7.519917e+12 7.081850e+12 8.009760e+12 1.718649e+00 1.813774e-02
8.553447e+12 8.009760e+12 9.133830e+12 1.769538e+00 1.912915e-02
9.797535e+12 9.133830e+12 1.050710e+13 1.824351e+00 1.981607e-02
1.132349e+13 1.050710e+13 1.220020e+13 1.908467e+00 2.122863e-02
1.319905e+13 1.220020e+13 1.430760e+13 1.977790e+00 2.238968e-02
1.555626e+13 1.430760e+13 1.695820e+13 2.066883e+00 2.444311e-02
1.852728e+13 1.695820e+13 2.032850e+13 2.169735e+00 2.645706e-02
2.234512e+13 2.032850e+13 2.466450e+13 2.309971e+00 2.848555e-02
2.729422e+13 2.466450e+13 3.031320e+13 2.475169e+00 3.207756e-02
3.372860e+13 3.031320e+13 3.777070e+13 2.615112e+00 3.547563e-02
4.227067e+13 3.777070e+13 4.775720e+13 2.816337e+00 4.079256e-02
5.383430e+13 4.775720e+13 6.133490e+13 3.094867e+00 4.959328e-02
6.961732e+13 6.133490e+13 8.009630e+13 3.339768e+00 5.981359e-02
9.154603e+13 8.009630e+13 1.064720e+14 3.688764e+00 7.735848e-02
1.227073e+14 1.064720e+14 1.442410e+14 4.091492e+00 1.011067e-01
1.673506e+14 1.442410e+14 1.994000e+14 4.627193e+00 1.435431e-01
2.320942e+14 1.994000e+14 2.816600e+14 5.114675e+00 2.202759e-01
3.759796e+14 2.816600e+14 inf 6.406822e+00 3.404492e-01
