# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
8.229220300000000000e+12 7.556700000000000000e+12 8.510500000000000000e+12 1.439322160661478334e+00 2.127651094152324673e-02
9.066245100000000000e+12 8.510500000000000000e+12 9.654490000000000000e+12 1.469133487069962385e+00 1.619211488123228904e-02
1.032065900000000000e+13 9.654490000000000000e+12 1.103690000000000000e+13 1.536191514936815716e+00 1.662402769535467270e-02
1.182175700000000000e+13 1.103690000000000000e+13 1.272080000000000000e+13 1.579313454397853533e+00 1.741569833977264434e-02
1.368936600000000000e+13 1.272080000000000000e+13 1.478920000000000000e+13 1.609112584475298036e+00 1.883478864795629440e-02
1.599278100000000000e+13 1.478920000000000000e+13 1.735290000000000000e+13 1.701388877679512301e+00 1.897135870816309480e-02
1.887324300000000000e+13 1.735290000000000000e+13 2.056060000000000000e+13 1.763533914960837556e+00 2.116033290661054056e-02
2.245233100000000000e+13 2.056060000000000000e+13 2.461490000000000000e+13 1.875206052728371597e+00 2.181443084398675472e-02
2.703711000000000000e+13 2.461490000000000000e+13 2.979410000000000000e+13 1.970088641014172248e+00 2.523334608791579642e-02
3.289414100000000000e+13 2.979410000000000000e+13 3.648610000000000000e+13 2.089627340048294979e+00 2.554057834892670825e-02
4.051788800000000000e+13 3.648610000000000000e+13 4.523730000000000000e+13 2.228272910961827336e+00 2.974145066010028607e-02
5.052063400000000000e+13 4.523730000000000000e+13 5.682840000000000000e+13 2.405881119671917645e+00 3.415651971103949441e-02
6.379500300000000000e+13 5.682840000000000000e+13 7.239070000000000000e+13 2.584367361029164645e+00 3.923073016244257860e-02
8.183405200000000000e+13 7.239070000000000000e+13 9.358750000000000000e+13 2.843813350947179686e+00 4.491862697610827376e-02
1.065130100000000000e+14 9.358750000000000000e+13 1.229030000000000000e+14 3.110299008322594538e+00 5.986913492603977011e-02
1.405213500000000000e+14 1.229030000000000000e+14 1.641080000000000000e+14 3.463456755816740618e+00 7.475832604661244996e-02
1.893549600000000000e+14 1.641080000000000000e+14 2.230310000000000000e+14 3.830025526015548465e+00 9.660711704798412292e-02
2.583439100000000000e+14 2.230310000000000000e+14 3.088410000000000000e+14 4.306213922531227034e+00 1.415356532555190339e-01
3.600494100000000000e+14 3.088410000000000000e+14 4.362500000000000000e+14 5.116046808387710421e+00 2.048773368024264518e-01
6.043122200000000000e+14 4.362500000000000000e+14 inf 6.127559002824190415e+00 3.004454330504797710e-01
