# Nhalo/bin Mlow Mhigh Mmean
39421 7.44258e+12 8.37096e+12 8.1521628e+12
92357 8.37096e+12 9.47362e+12 8.8917199e+12
85480 9.47362e+12 1.07916e+13 1.0101710e+13
80312 1.07916e+13 1.23776e+13 1.1547279e+13
73157 1.23776e+13 1.42995e+13 1.3294091e+13
67874 1.42995e+13 1.66460e+13 1.5413154e+13
61293 1.66460e+13 1.95331e+13 1.8010108e+13
55476 1.95331e+13 2.31148e+13 2.1211842e+13
48903 2.31148e+13 2.75970e+13 2.5220258e+13
42376 2.75970e+13 3.32573e+13 3.0252808e+13
36510 3.32573e+13 4.04742e+13 3.6618031e+13
31436 4.04742e+13 4.97693e+13 4.4774157e+13
25881 4.97693e+13 6.18690e+13 5.5371357e+13
21418 6.18690e+13 7.77969e+13 6.9180617e+13
16881 7.77969e+13 9.90126e+13 8.7396862e+13
13093 9.90126e+13 1.27625e+14 1.1194456e+14
9620 1.27625e+14 1.66718e+14 1.4501932e+14
6919 1.66718e+14 2.20874e+14 1.9065525e+14
4585 2.20874e+14 2.96988e+14 2.5392045e+14
2867 2.96988e+14 4.05608e+14 3.4342406e+14
1609 4.05608e+14 5.63121e+14 4.7155922e+14
802 5.63121e+14 7.95430e+14 6.5509946e+14
500 7.95430e+14 inf 1.0886844e+15
