# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
7.064348e+12 6.316410e+12 7.090180e+12 2.063205e+00 7.878220e-02
7.538662e+12 7.090180e+12 8.028690e+12 2.105560e+00 2.358318e-02
8.569802e+12 8.028690e+12 9.177410e+12 2.193737e+00 2.416714e-02
9.845286e+12 9.177410e+12 1.059720e+13 2.262089e+00 2.620465e-02
1.143434e+13 1.059720e+13 1.237080e+13 2.382030e+00 2.758412e-02
1.342365e+13 1.237080e+13 1.461130e+13 2.475391e+00 2.986742e-02
1.595371e+13 1.461130e+13 1.747650e+13 2.619374e+00 3.179509e-02
1.920858e+13 1.747650e+13 2.118900e+13 2.759873e+00 3.653761e-02
2.341243e+13 2.118900e+13 2.606750e+13 2.952489e+00 3.993640e-02
2.900052e+13 2.606750e+13 3.257640e+13 3.155553e+00 4.739148e-02
3.652127e+13 3.257640e+13 4.140350e+13 3.404539e+00 5.521202e-02
4.677846e+13 4.140350e+13 5.358660e+13 3.701720e+00 6.602353e-02
6.110991e+13 5.358660e+13 7.072250e+13 4.095062e+00 8.444906e-02
8.120158e+13 7.072250e+13 9.531990e+13 4.448050e+00 1.124024e-01
1.103473e+14 9.531990e+13 1.314090e+14 5.026302e+00 1.536127e-01
1.521288e+14 1.314090e+14 1.856200e+14 5.538257e+00 2.353670e-01
2.479213e+14 1.856200e+14 inf 7.045984e+00 3.732599e-01
