# Mass[Msun/h]; Mlow; Mhigh; hh-bias; hh-bias_err
8.286629600000000000e+12 7.646210000000000000e+12 8.628110000000000000e+12 4.990346774577679945e+00 2.351205149435871833e-01
9.202810400000000000e+12 8.628110000000000000e+12 9.828180000000000000e+12 4.688641855386752155e+00 1.783613979127722238e-01
1.052773000000000000e+13 9.828180000000000000e+12 1.130930000000000000e+13 5.036217202128828951e+00 2.048405990812902089e-01
1.216815000000000000e+13 1.130930000000000000e+13 1.315680000000000000e+13 5.617720621383648805e+00 2.272309808617894167e-01
1.424439800000000000e+13 1.315680000000000000e+13 1.548770000000000000e+13 6.452831757977516958e+00 2.548748929156459675e-01
1.689364700000000000e+13 1.548770000000000000e+13 1.846460000000000000e+13 7.262283591413768669e+00 2.796535204407816222e-01
2.026201800000000000e+13 1.846460000000000000e+13 2.231730000000000000e+13 8.335410668750968810e+00 3.731450164718542739e-01
2.461629800000000000e+13 2.231730000000000000e+13 2.737520000000000000e+13 8.734819243043167702e+00 4.040170596531387215e-01
3.043270200000000000e+13 2.737520000000000000e+13 3.411820000000000000e+13 1.176646910006670943e+01 5.708479238869826888e-01
3.820728300000000000e+13 3.411820000000000000e+13 4.325780000000000000e+13 1.224718576367366829e+01 6.897631608819724258e-01
4.877851200000000000e+13 4.325780000000000000e+13 5.586940000000000000e+13 1.497079973790593144e+01 1.068387357310722985e+00
6.354755000000000000e+13 5.586940000000000000e+13 7.361070000000000000e+13 1.902737366906723437e+01 1.370113605513363586e+00
8.438366100000000000e+13 7.361070000000000000e+13 9.909220000000000000e+13 2.362952636181629629e+01 2.359128338408317926e+00
1.143089500000000000e+14 9.909220000000000000e+13 1.365200000000000000e+14 3.000722883234044502e+01 4.016831858546694001e+00
1.591884000000000000e+14 1.365200000000000000e+14 1.928400000000000000e+14 4.692437490720035242e+01 9.459391638238777489e+00
2.590412600000000000e+14 1.928400000000000000e+14 inf 5.117271457457470518e+01 1.600673231965711096e+01
