# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
7.421006e+12 6.942450e+12 7.829860e+12 1.063166e+00 1.271090e-02
8.347633e+12 7.829860e+12 8.885590e+12 1.084924e+00 1.253293e-02
9.502408e+12 8.885590e+12 1.014960e+13 1.112101e+00 1.295540e-02
1.088737e+13 1.014960e+13 1.167310e+13 1.149231e+00 1.365003e-02
1.255322e+13 1.167310e+13 1.352230e+13 1.171541e+00 1.406169e-02
1.458284e+13 1.352230e+13 1.578360e+13 1.218038e+00 1.455784e-02
1.710002e+13 1.578360e+13 1.857040e+13 1.268954e+00 1.522245e-02
2.022340e+13 1.857040e+13 2.203300e+13 1.319855e+00 1.635956e-02
2.408100e+13 2.203300e+13 2.637240e+13 1.360452e+00 1.741744e-02
2.894960e+13 2.637240e+13 3.186010e+13 1.445678e+00 1.879453e-02
3.513380e+13 3.186010e+13 3.886640e+13 1.513175e+00 2.009790e-02
4.306621e+13 3.886640e+13 4.790140e+13 1.603894e+00 2.179651e-02
5.332837e+13 4.790140e+13 5.967570e+13 1.707892e+00 2.401498e-02
6.677706e+13 5.967570e+13 7.519050e+13 1.820700e+00 2.657187e-02
8.459463e+13 7.519050e+13 9.587360e+13 1.972981e+00 3.057086e-02
1.086283e+14 9.587360e+13 1.237860e+14 2.131228e+00 3.494825e-02
1.408180e+14 1.237860e+14 1.619420e+14 2.341480e+00 4.197580e-02
1.855014e+14 1.619420e+14 2.148110e+14 2.572274e+00 5.208008e-02
2.475852e+14 2.148110e+14 2.891180e+14 2.867142e+00 6.515961e-02
3.345184e+14 2.891180e+14 3.951290e+14 3.256769e+00 8.661449e-02
4.597976e+14 3.951290e+14 5.487710e+14 3.625971e+00 1.164559e-01
6.396344e+14 5.487710e+14 7.751600e+14 4.081511e+00 1.721808e-01
1.052268e+15 7.751600e+14 inf 4.951696e+00 2.609937e-01
