# Nhalo/bin Mlow Mhigh Mmean
47570 7.55670e+12 8.51050e+12 8.2292203e+12
80726 8.51050e+12 9.65449e+12 9.0662451e+12
73012 9.65449e+12 1.10369e+13 1.0320659e+13
68866 1.10369e+13 1.27208e+13 1.1821757e+13
62660 1.27208e+13 1.47892e+13 1.3689366e+13
57248 1.47892e+13 1.73529e+13 1.5992781e+13
49663 1.73529e+13 2.05606e+13 1.8873243e+13
43565 2.05606e+13 2.46149e+13 2.2452331e+13
37185 2.46149e+13 2.97941e+13 2.7037110e+13
31425 2.97941e+13 3.64861e+13 3.2894141e+13
25792 3.64861e+13 4.52373e+13 4.0517888e+13
20587 4.52373e+13 5.68284e+13 5.0520634e+13
16060 5.68284e+13 7.23907e+13 6.3795003e+13
11723 7.23907e+13 9.35875e+13 8.1834052e+13
8078 9.35875e+13 1.22903e+14 1.0651301e+14
5439 1.22903e+14 1.64108e+14 1.4052135e+14
3268 1.64108e+14 2.23031e+14 1.8935496e+14
1817 2.23031e+14 3.08841e+14 2.5834391e+14
885 3.08841e+14 4.36250e+14 3.6004941e+14
500 4.36250e+14 inf 6.0431222e+14
