# Mass[Msun/h]; Mlow; Mhigh; hh-bias; hh-bias_err
8.152162800000000000e+12 7.442580000000000000e+12 8.370960000000000000e+12 1.245253823207039368e+00 7.789244064872932749e-02
8.891719900000000000e+12 8.370960000000000000e+12 9.473620000000000000e+12 1.339739789873349407e+00 4.090690420873796529e-02
1.010171000000000000e+13 9.473620000000000000e+12 1.079160000000000000e+13 1.371199701562198836e+00 4.536484746174834076e-02
1.154727900000000000e+13 1.079160000000000000e+13 1.237760000000000000e+13 1.410074751522112146e+00 4.846412271829987628e-02
1.329409100000000000e+13 1.237760000000000000e+13 1.429950000000000000e+13 1.540720668444729435e+00 5.284272845856487211e-02
1.541315400000000000e+13 1.429950000000000000e+13 1.664600000000000000e+13 1.582876630101857307e+00 5.415654763740554434e-02
1.801010800000000000e+13 1.664600000000000000e+13 1.953310000000000000e+13 1.687309193042319411e+00 6.024552938534755847e-02
2.121184200000000000e+13 1.953310000000000000e+13 2.311480000000000000e+13 1.708921484429332560e+00 6.887679254735216972e-02
2.522025800000000000e+13 2.311480000000000000e+13 2.759700000000000000e+13 2.066929356280376773e+00 7.718609905440171337e-02
3.025280800000000000e+13 2.759700000000000000e+13 3.325730000000000000e+13 2.141869147631909609e+00 8.292577962259577162e-02
3.661803100000000000e+13 3.325730000000000000e+13 4.047420000000000000e+13 2.380317926526979377e+00 9.533804418915528545e-02
4.477415700000000000e+13 4.047420000000000000e+13 4.976930000000000000e+13 2.670998564007729392e+00 1.120954744807856063e-01
5.537135700000000000e+13 4.976930000000000000e+13 6.186900000000000000e+13 2.911421054892901594e+00 1.340755470750697176e-01
6.918061700000000000e+13 6.186900000000000000e+13 7.779690000000000000e+13 3.431741413849584976e+00 1.570855882815953009e-01
8.739686200000000000e+13 7.779690000000000000e+13 9.901260000000000000e+13 4.360381336573684763e+00 2.094287925583264709e-01
1.119445600000000000e+14 9.901260000000000000e+13 1.276250000000000000e+14 4.671377253379310091e+00 2.422761386261169103e-01
1.450193200000000000e+14 1.276250000000000000e+14 1.667180000000000000e+14 6.348137506883393399e+00 3.728620642132653429e-01
1.906552500000000000e+14 1.667180000000000000e+14 2.208740000000000000e+14 7.133572416465783661e+00 4.843676073976834195e-01
2.539204500000000000e+14 2.208740000000000000e+14 2.969880000000000000e+14 8.371859675232093068e+00 6.811910730680520443e-01
3.434240600000000000e+14 2.969880000000000000e+14 4.056080000000000000e+14 1.192729888384876347e+01 1.143275664782065881e+00
4.715592200000000000e+14 4.056080000000000000e+14 5.631210000000000000e+14 1.109718592248886360e+01 1.820581982960039813e+00
6.550994600000000000e+14 5.631210000000000000e+14 7.954300000000000000e+14 1.445223888847852578e+01 3.386635875647809879e+00
1.088684400000000000e+15 7.954300000000000000e+14 inf 3.096165029811021085e+01 6.363225636220803061e+00
