# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
8.286629600000000000e+12 7.646210000000000000e+12 8.628110000000000000e+12 2.163122709603263250e+00 2.986874672887003535e-02
9.202810400000000000e+12 8.628110000000000000e+12 9.828180000000000000e+12 2.286794380281970795e+00 2.634839153637466569e-02
1.052773000000000000e+13 9.828180000000000000e+12 1.130930000000000000e+13 2.382871627858020869e+00 2.688796732054031177e-02
1.216815000000000000e+13 1.130930000000000000e+13 1.315680000000000000e+13 2.440734042110455082e+00 2.942155188313250180e-02
1.424439800000000000e+13 1.315680000000000000e+13 1.548770000000000000e+13 2.549998213775948486e+00 3.011768186299373234e-02
1.689364700000000000e+13 1.548770000000000000e+13 1.846460000000000000e+13 2.695322171109506115e+00 3.430450745325765161e-02
2.026201800000000000e+13 1.846460000000000000e+13 2.231730000000000000e+13 2.874764120466771544e+00 3.755732591070144039e-02
2.461629800000000000e+13 2.231730000000000000e+13 2.737520000000000000e+13 3.008771544581731128e+00 4.162953546716645359e-02
3.043270200000000000e+13 2.737520000000000000e+13 3.411820000000000000e+13 3.239671134813637998e+00 4.669581114621289275e-02
3.820728300000000000e+13 3.411820000000000000e+13 4.325780000000000000e+13 3.551664795447080802e+00 5.597912586782625988e-02
4.877851200000000000e+13 4.325780000000000000e+13 5.586940000000000000e+13 3.865261712170881214e+00 7.159107833708791557e-02
6.354755000000000000e+13 5.586940000000000000e+13 7.361070000000000000e+13 4.195544470100200485e+00 9.013140354836569890e-02
8.438366100000000000e+13 7.361070000000000000e+13 9.909220000000000000e+13 4.550552913037776648e+00 1.210767327570086288e-01
1.143089500000000000e+14 9.909220000000000000e+13 1.365200000000000000e+14 5.280404872713072351e+00 1.713503132925762729e-01
1.591884000000000000e+14 1.365200000000000000e+14 1.928400000000000000e+14 6.010942441732144204e+00 2.484538227188382020e-01
2.590412600000000000e+14 1.928400000000000000e+14 inf 7.755026021906296307e+00 4.076694769465146195e-01
