# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
7.115992e+12 6.411430e+12 7.212600e+12 4.026953e+00 1.458252e-01
7.689156e+12 7.212600e+12 8.236160e+12 4.046015e+00 6.764726e-02
8.851412e+12 8.236160e+12 9.564830e+12 4.223016e+00 7.130992e-02
1.037552e+13 9.564830e+12 1.132090e+13 4.393054e+00 7.882059e-02
1.240269e+13 1.132090e+13 1.368920e+13 4.710871e+00 9.143780e-02
1.515990e+13 1.368920e+13 1.695730e+13 4.992586e+00 1.043503e-01
1.897722e+13 1.695730e+13 2.158460e+13 5.386570e+00 1.244830e-01
2.446202e+13 2.158460e+13 2.832960e+13 5.850605e+00 1.606046e-01
3.247076e+13 2.832960e+13 3.848890e+13 6.488671e+00 2.220927e-01
4.470978e+13 3.848890e+13 5.436700e+13 7.164620e+00 3.350538e-01
7.250467e+13 5.436700e+13 inf 8.618380e+00 5.079243e-01
