# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
7.082000e+12 6.357650e+12 7.138560e+12 1.352723e+00 3.951231e-02
7.592295e+12 7.138560e+12 8.070520e+12 1.394510e+00 1.520172e-02
8.608578e+12 8.070520e+12 9.190650e+12 1.433450e+00 1.584626e-02
9.834582e+12 9.190650e+12 1.054710e+13 1.477581e+00 1.587791e-02
1.133996e+13 1.054710e+13 1.220260e+13 1.530361e+00 1.741945e-02
1.317493e+13 1.220260e+13 1.424050e+13 1.584159e+00 1.763514e-02
1.543600e+13 1.424050e+13 1.677120e+13 1.656037e+00 1.899221e-02
1.825740e+13 1.677120e+13 1.994370e+13 1.729966e+00 2.009236e-02
2.183976e+13 1.994370e+13 2.396080e+13 1.779870e+00 2.139781e-02
2.636914e+13 2.396080e+13 2.910140e+13 1.916893e+00 2.356427e-02
3.215729e+13 2.910140e+13 3.575370e+13 2.021221e+00 2.519284e-02
3.974197e+13 3.575370e+13 4.446510e+13 2.174349e+00 2.850321e-02
4.969669e+13 4.446510e+13 5.601720e+13 2.333575e+00 3.286429e-02
6.305796e+13 5.601720e+13 7.154160e+13 2.490643e+00 3.847506e-02
8.103796e+13 7.154160e+13 9.270080e+13 2.736700e+00 4.522846e-02
1.056667e+14 9.270080e+13 1.219740e+14 3.009794e+00 5.560831e-02
1.401935e+14 1.219740e+14 1.631190e+14 3.326835e+00 7.094834e-02
1.884538e+14 1.631190e+14 2.219270e+14 3.770754e+00 9.380584e-02
2.574003e+14 2.219270e+14 3.074890e+14 4.162696e+00 1.335622e-01
3.580904e+14 3.074890e+14 4.343400e+14 4.682571e+00 2.040001e-01
5.831185e+14 4.343400e+14 inf 5.867800e+00 2.987400e-01
