# M nu b b_e b_emu pd pd_e box snap
2.019308e+15 4.126535e+00 7.238470e+00 2.472818e-01 7.109705e+00 1.811117e-02 3.478088e-02 5 8
5.157122e+13 1.646407e+00 1.724483e+00 6.807965e-03 1.692964e+00 1.861723e-02 4.021327e-03 5 9
5.776091e+13 1.684156e+00 1.781862e+00 6.459635e-03 1.760032e+00 1.240284e-02 3.670180e-03 5 9
6.594462e+13 1.729896e+00 1.838873e+00 6.899742e-03 1.835998e+00 1.566192e-03 3.758034e-03 5 9
7.607859e+13 1.781286e+00 1.927449e+00 7.388571e-03 1.922291e+00 2.683360e-03 3.843628e-03 5 9
8.863949e+13 1.838690e+00 2.035909e+00 7.722046e-03 2.020619e+00 7.566809e-03 3.821624e-03 5 9
1.042275e+14 1.902496e+00 2.130508e+00 8.168415e-03 2.133033e+00 -1.183670e-03 3.829483e-03 5 9
1.239130e+14 1.974197e+00 2.266717e+00 8.954176e-03 2.262018e+00 2.077280e-03 3.958490e-03 5 9
1.491757e+14 2.055460e+00 2.409646e+00 9.877188e-03 2.410600e+00 -3.957449e-04 4.097398e-03 5 9
1.817193e+14 2.147208e+00 2.572597e+00 1.161312e-02 2.582488e+00 -3.829987e-03 4.496873e-03 5 9
2.243259e+14 2.251666e+00 2.796983e+00 1.333697e-02 2.782267e+00 5.289136e-03 4.793560e-03 5 9
2.807666e+14 2.371015e+00 2.993886e+00 1.557550e-02 3.015652e+00 -7.217653e-03 5.164886e-03 5 9
3.567825e+14 2.508457e+00 3.326203e+00 2.012100e-02 3.289817e+00 1.106013e-02 6.116144e-03 5 9
4.606156e+14 2.667528e+00 3.706777e+00 2.577381e-02 3.613846e+00 2.571531e-02 7.131961e-03 5 9
6.051917e+14 2.853403e+00 4.112690e+00 3.272560e-02 3.999323e+00 2.834644e-02 8.182785e-03 5 9
8.074136e+14 3.069630e+00 4.558064e+00 4.653252e-02 4.461130e+00 2.172868e-02 1.043066e-02 5 9
1.098306e+15 3.325904e+00 5.188971e+00 7.457966e-02 5.018481e+00 3.397246e-02 1.486100e-02 5 9
1.517409e+15 3.627443e+00 6.062852e+00 1.267645e-01 5.696282e+00 6.435250e-02 2.225391e-02 5 9
2.335872e+15 4.090074e+00 7.065378e+00 2.407965e-01 6.720589e+00 5.130331e-02 3.582967e-02 5 9
5.647147e+13 3.793857e+00 7.906749e+00 3.218803e-01 7.554718e+00 4.659757e-02 4.260652e-02 6 1
6.168165e+13 3.864103e+00 7.897484e+00 1.355745e-01 7.960048e+00 -7.859811e-03 1.703186e-02 6 1
7.533786e+13 4.030343e+00 8.517314e+00 1.564481e-01 8.573018e+00 -6.497576e-03 1.824890e-02 6 1
9.885296e+13 4.272942e+00 9.722090e+00 2.388446e-01 9.517611e+00 2.148418e-02 2.509501e-02 6 1
1.500736e+14 4.688014e+00 1.096269e+01 5.294399e-01 1.117321e+01 -1.884179e-02 4.738475e-02 6 1
5.648196e+13 2.606748e+00 3.916240e+00 4.908182e-02 3.861095e+00 1.428221e-02 1.271189e-02 6 2
6.074558e+13 2.646457e+00 4.033968e+00 2.203393e-02 4.035596e+00 -4.033758e-04 5.459896e-03 6 2
6.983054e+13 2.724964e+00 4.242639e+00 2.242340e-02 4.244408e+00 -4.168198e-04 5.283046e-03 6 2
8.181594e+13 2.818289e+00 4.508922e+00 2.792917e-02 4.496169e+00 2.836284e-03 6.211770e-03 6 2
9.761364e+13 2.927759e+00 4.766020e+00 3.056763e-02 4.802306e+00 -7.555939e-03 6.365197e-03 6 2
1.191914e+14 3.059011e+00 5.159152e+00 3.768835e-02 5.178118e+00 -3.662719e-03 7.278388e-03 6 2
1.491152e+14 3.216329e+00 5.581874e+00 4.690406e-02 5.644393e+00 -1.107636e-02 8.309850e-03 6 2
1.913147e+14 3.405057e+00 6.209628e+00 6.468575e-02 6.229773e+00 -3.233759e-03 1.038332e-02 6 2
2.539747e+14 3.638981e+00 7.029903e+00 1.029494e-01 6.974168e+00 7.991541e-03 1.476153e-02 6 2
3.477428e+14 3.925395e+00 7.825532e+00 1.748873e-01 7.933815e+00 -1.364833e-02 2.204328e-02 6 2
5.268299e+14 4.353990e+00 9.203604e+00 3.440420e-01 9.423434e+00 -2.332801e-02 3.650919e-02 6 2
5.634225e+13 2.435128e+00 3.436922e+00 4.559426e-02 3.431394e+00 1.611113e-03 1.328739e-02 6 3
6.046247e+13 2.471084e+00 3.557451e+00 1.822092e-02 3.583054e+00 -7.145492e-03 5.085304e-03 6 3
6.933377e+13 2.543033e+00 3.748648e+00 1.816463e-02 3.762370e+00 -3.647041e-03 4.827975e-03 6 3
8.076134e+13 2.626789e+00 3.985903e+00 1.993062e-02 3.975811e+00 2.538313e-03 5.012970e-03 6 3
9.569340e+13 2.724614e+00 4.233750e+00 2.383966e-02 4.231773e+00 4.670115e-04 5.633492e-03 6 3
1.153642e+14 2.838509e+00 4.560591e+00 2.773298e-02 4.541295e+00 4.249016e-03 6.106844e-03 6 3
1.423101e+14 2.974589e+00 4.903513e+00 3.306969e-02 4.919047e+00 -3.158001e-03 6.722784e-03 6 3
1.797775e+14 3.137151e+00 5.334796e+00 4.460970e-02 5.384788e+00 -9.283981e-03 8.284393e-03 6 3
2.327915e+14 3.331764e+00 5.932468e+00 5.999043e-02 5.965477e+00 -5.533277e-03 1.005627e-02 6 3
3.105851e+14 3.569314e+00 6.741275e+00 9.171846e-02 6.698271e+00 6.420084e-03 1.369286e-02 6 3
4.258473e+14 3.857104e+00 7.361126e+00 1.631869e-01 7.634892e+00 -3.585723e-02 2.137384e-02 6 3
6.465508e+14 4.289119e+00 8.902054e+00 3.095723e-01 9.081872e+00 -1.979967e-02 3.408684e-02 6 3
5.648501e+13 2.269690e+00 3.097089e+00 3.253149e-02 3.047519e+00 1.626586e-02 1.067475e-02 6 4
6.075464e+13 2.304310e+00 3.170937e+00 1.352645e-02 3.180197e+00 -2.911884e-03 4.253337e-03 6 4
